Date,"Potash Granular MOP bulk cfr Brazil
Low, USD/t ","Potash Granular MOP bulk cfr Brazil
High, USD/t ","Potash Granular MOP bulk cfr Brazil
Midpoint, USD/t ","Potash Granular MOP bulk cfr northwest Europe
Low, Euro/t","Potash Granular MOP bulk cfr northwest Europe
High, Euro/t","Potash Granular MOP bulk cfr northwest Europe
Mid, Euro/t","Potash Standard MOP bulk fob Vancouver
Low, USD/t","Potash Standard MOP bulk fob Vancouver
High, USD/t","Potash Standard MOP bulk fob Vancouver
Mid, USD/t","Potash Standard MOP bulk cfr southeast Asia
Low, Euro/t","Potash Standard MOP bulk cfr southeast Asia
High, Euro/t","Potash Standard MOP bulk cfr southeast Asia
Mid, Euro/t"
19 May 2016,220,230,225.0,250,260,255.0,197,242,219.5,230,265,247.5
26 May 2016,220,230,225.0,245,255,250.0,197,242,219.5,230,265,247.5
02 Jun 2016,220,225,222.5,245,255,250.0,197,242,219.5,230,265,247.5
09 Jun 2016,215,225,220.0,245,255,250.0,190,241,215.5,225,265,245.0
16 Jun 2016,210,225,217.5,245,255,250.0,184,243,213.5,220,265,242.5
23 Jun 2016,210,225,217.5,240,250,245.0,184,243,213.5,220,265,242.5
30 Jun 2016,210,225,217.5,240,250,245.0,184,243,213.5,220,265,242.5
07 Jul 2016,210,225,217.5,235,245,240.0,184,243,213.5,220,265,242.5
14 Jul 2016,215,225,220.0,230,245,237.5,184,243,213.5,220,265,242.5
21 Jul 2016,225,230,227.5,230,245,237.5,191,243,217.0,220,265,242.5
28 Jul 2016,225,235,230.0,230,245,237.5,191,243,217.0,220,265,242.5
04 Aug 2016,230,240,235.0,230,245,237.5,191,243,217.0,220,265,242.5
11 Aug 2016,230,240,235.0,230,245,237.5,191,243,217.0,220,265,242.5
18 Aug 2016,230,240,235.0,230,245,237.5,191,243,217.0,220,265,242.5
25 Aug 2016,230,240,235.0,230,245,237.5,191,243,217.0,220,265,242.5
01 Sep 2016,230,235,232.5,230,240,235.0,191,243,217.0,220,265,242.5
08 Sep 2016,230,235,232.5,230,240,235.0,197,229,213.0,230,260,245.0
15 Sep 2016,230,235,232.5,230,240,235.0,197,229,213.0,230,260,245.0
22 Sep 2016,235,240,237.5,230,240,235.0,197,229,213.0,230,260,245.0
29 Sep 2016,235,240,237.5,230,240,235.0,197,229,213.0,230,260,245.0
06 Oct 2016,230,240,235.0,230,240,235.0,195,229,212.0,230,260,245.0
13 Oct 2016,235,240,237.5,230,240,235.0,200,232,216.0,235,260,247.5
20 Oct 2016,232,240,236.0,230,240,235.0,199,232,215.5,235,260,247.5
27 Oct 2016,230,240,235.0,230,240,235.0,197,232,214.5,235,260,247.5
03 Nov 2016,230,240,235.0,230,245,237.5,197,232,214.5,235,260,247.5
10 Nov 2016,230,240,235.0,230,245,237.5,197,232,214.5,230,260,245.0
17 Nov 2016,230,240,235.0,230,245,237.5,197,232,214.5,230,260,245.0
24 Nov 2016,230,240,235.0,230,245,237.5,197,232,214.5,230,260,245.0
01 Dec 2016,230,240,235.0,230,245,237.5,197,232,214.5,230,260,245.0
08 Dec 2016,230,240,235.0,230,245,237.5,197,232,214.5,230,260,245.0
15 Dec 2016,235,240,237.5,230,245,237.5,197,232,214.5,230,260,245.0
22 Dec 2016,235,240,237.5,230,245,237.5,197,232,214.5,230,260,245.0
05 Jan 2017,235,240,237.5,230,245,237.5,197,232,214.5,230,260,245.0
12 Jan 2017,235,245,240.0,235,250,242.5,196,232,214.0,230,260,245.0
19 Jan 2017,235,245,240.0,235,250,242.5,196,232,214.0,230,260,245.0
26 Jan 2017,235,245,240.0,235,250,242.5,196,232,214.0,230,260,245.0
02 Feb 2017,240,245,242.5,235,250,242.5,196,232,214.0,232,260,246.0
09 Feb 2017,240,245,242.5,235,250,242.5,196,232,214.0,232,260,246.0
16 Feb 2017,240,245,242.5,235,250,242.5,196,232,214.0,232,260,246.0
23 Feb 2017,245,250,247.5,235,255,245.0,200,228,214.0,232,260,246.0
02 Mar 2017,245,250,247.5,240,255,247.5,200,228,214.0,232,260,246.0
09 Mar 2017,250,255,252.5,245,255,250.0,201,226,213.5,235,260,247.5
16 Mar 2017,250,255,252.5,245,255,250.0,201,226,213.5,235,260,247.5
23 Mar 2017,250,255,252.5,245,255,250.0,202,227,214.5,235,260,247.5
30 Mar 2017,250,260,255.0,245,255,250.0,201,226,213.5,235,260,247.5
06 Apr 2017,250,260,255.0,245,255,250.0,202,227,214.5,235,260,247.5
13 Apr 2017,255,260,257.5,245,255,250.0,200,225,212.5,235,260,247.5
20 Apr 2017,253,260,256.5,250,260,255.0,203,225,214.0,238,260,249.0
27 Apr 2017,255,265,260.0,255,260,257.5,203,226,214.5,238,260,249.0
04 May 2017,255,265,260.0,255,260,257.5,204,226,215.0,238,260,249.0
11 May 2017,255,265,260.0,255,260,257.5,205,230,217.5,238,260,249.0
18 May 2017,255,265,260.0,255,260,257.5,205,230,217.5,238,260,249.0
25 May 2017,260,270,265.0,255,260,257.5,207,235,221.0,238,260,249.0
01 Jun 2017,260,270,265.0,255,260,257.5,206,234,220.0,238,260,249.0
08 Jun 2017,260,270,265.0,255,260,257.5,209,235,222.0,240,260,250.0
15 Jun 2017,260,270,265.0,255,260,257.5,210,235,222.5,240,260,250.0
22 Jun 2017,260,270,265.0,255,260,257.5,210,234,222.0,240,260,250.0
29 Jun 2017,260,270,265.0,255,260,257.5,210,234,222.0,240,260,250.0
06 Jul 2017,260,270,265.0,255,260,257.5,210,237,223.5,240,260,250.0
13 Jul 2017,260,270,265.0,255,260,257.5,209,237,223.0,240,260,250.0
20 Jul 2017,260,270,265.0,255,260,257.5,208,235,221.5,240,260,250.0
27 Jul 2017,260,270,265.0,250,260,255.0,212,235,223.5,244,255,249.5
03 Aug 2017,260,267,263.5,250,260,255.0,211,234,222.5,244,255,249.5
10 Aug 2017,260,267,263.5,250,260,255.0,211,235,223.0,244,255,249.5
17 Aug 2017,260,267,263.5,250,260,255.0,211,234,222.5,244,255,249.5
24 Aug 2017,260,267,263.5,250,260,255.0,210,234,222.0,244,260,252.0
31 Aug 2017,260,270,265.0,250,260,255.0,217,237,227.0,250,260,255.0
07 Sep 2017,260,270,265.0,250,260,255.0,215,234,224.5,250,260,255.0
14 Sep 2017,260,270,265.0,250,260,255.0,213,231,222.0,250,260,255.0
21 Sep 2017,270,285,277.5,250,260,255.0,212,245,228.5,250,260,255.0
28 Sep 2017,270,285,277.5,250,260,255.0,211,245,228.0,250,260,255.0
05 Oct 2017,270,285,277.5,253,260,256.5,211,246,228.5,250,265,257.5
12 Oct 2017,280,285,282.5,255,265,260.0,210,245,227.5,250,265,257.5
19 Oct 2017,280,285,282.5,255,265,260.0,210,245,227.5,250,265,257.5
26 Oct 2017,280,285,282.5,260,265,262.5,209,242,225.5,250,265,257.5
02 Nov 2017,280,285,282.5,260,265,262.5,209,240,224.5,250,265,257.5
09 Nov 2017,280,285,282.5,260,265,262.5,209,240,224.5,250,265,257.5
16 Nov 2017,280,285,282.5,260,265,262.5,214,237,225.5,255,265,260.0
23 Nov 2017,280,285,282.5,260,265,262.5,216,237,226.5,255,265,260.0
30 Nov 2017,280,285,282.5,260,265,262.5,216,237,226.5,255,265,260.0
07 Dec 2017,280,285,282.5,260,265,262.5,216,237,226.5,255,265,260.0
14 Dec 2017,280,285,282.5,260,265,262.5,217,237,227.0,255,265,260.0
21 Dec 2017,280,285,282.5,260,265,262.5,218,238,228.0,255,265,260.0
04 Jan 2018,290,295,292.5,262,270,266.0,217,248,232.5,255,265,260.0
11 Jan 2018,290,295,292.5,262,270,266.0,211,250,230.5,250,265,257.5
18 Jan 2018,290,295,292.5,262,270,266.0,212,250,231.0,250,265,257.5
25 Jan 2018,290,295,292.5,260,265,262.5,212,247,229.5,250,265,257.5
01 Feb 2018,290,295,292.5,260,265,262.5,213,247,230.0,250,270,260.0
08 Feb 2018,290,295,292.5,260,270,265.0,213,247,230.0,250,270,260.0
15 Feb 2018,290,295,292.5,265,270,267.5,215,250,232.5,250,270,260.0
22 Feb 2018,290,295,292.5,265,270,267.5,213,250,231.5,250,270,260.0
01 Mar 2018,292,300,296.0,270,275,272.5,216,254,235.0,255,280,267.5
08 Mar 2018,295,300,297.5,270,275,272.5,215,254,234.5,255,280,267.5
15 Mar 2018,295,305,300.0,270,275,272.5,224,259,241.5,265,280,272.5
22 Mar 2018,300,305,302.5,270,275,272.5,228,259,243.5,270,280,275.0
29 Mar 2018,300,305,302.5,270,275,272.5,228,259,243.5,270,280,275.0
05 Apr 2018,300,305,302.5,270,275,272.5,233,260,246.5,275,285,280.0
12 Apr 2018,300,305,302.5,265,270,267.5,233,260,246.5,275,285,280.0
19 Apr 2018,300,305,302.5,265,270,267.5,238,259,248.5,280,290,285.0
26 Apr 2018,300,305,302.5,265,270,267.5,239,259,249.0,280,290,285.0
03 May 2018,305,315,310.0,265,270,267.5,239,269,254.0,280,295,287.5
10 May 2018,305,315,310.0,265,270,267.5,238,268,253.0,280,295,287.5
17 May 2018,305,315,310.0,265,270,267.5,238,268,253.0,280,295,287.5
24 May 2018,305,315,310.0,265,270,267.5,238,268,253.0,280,298,289.0
31 May 2018,310,315,312.5,265,270,267.5,236,267,251.5,280,298,289.0
07 Jun 2018,310,315,312.5,257,265,261.0,236,269,252.5,280,298,289.0
14 Jun 2018,315,320,317.5,257,265,261.0,233,273,253.0,277,298,287.5
21 Jun 2018,315,325,320.0,257,265,261.0,233,278,255.5,277,298,287.5
28 Jun 2018,315,325,320.0,257,265,261.0,236,273,254.5,280,300,290.0
05 Jul 2018,320,325,322.5,257,265,261.0,236,277,256.5,280,300,290.0
12 Jul 2018,320,330,325.0,257,270,263.5,237,282,259.5,280,300,290.0
19 Jul 2018,325,330,327.5,257,270,263.5,237,282,259.5,280,300,290.0
26 Jul 2018,325,330,327.5,257,270,263.5,237,284,260.5,280,300,290.0
02 Aug 2018,325,330,327.5,257,270,263.5,237,284,260.5,280,305,292.5
09 Aug 2018,325,335,330.0,260,270,265.0,238,284,261.0,280,305,292.5
16 Aug 2018,330,335,332.5,260,270,265.0,233,288,260.5,275,305,290.0
23 Aug 2018,335,340,337.5,265,270,267.5,233,291,262.0,275,305,290.0
30 Aug 2018,335,345,340.0,265,275,270.0,232,294,263.0,275,305,290.0
06 Sep 2018,335,345,340.0,265,280,272.5,232,294,263.0,275,305,290.0
13 Sep 2018,335,345,340.0,270,280,275.0,247,294,270.5,290,305,297.5
20 Sep 2018,340,345,342.5,275,280,277.5,247,294,270.5,290,305,297.5
