Date,"Potash Granular MOP bulk cfr Brazil
Low, USD/t ","Potash Granular MOP bulk cfr Brazil
High, USD/t ","Potash Granular MOP bulk cfr Brazil
Midpoint, USD/t ","Potash Granular MOP bulk cfr northwest Europe
Low, Euro/t","Potash Granular MOP bulk cfr northwest Europe
High, Euro/t","Potash Granular MOP bulk cfr northwest Europe
Mid, Euro/t","Potash Standard MOP bulk fob Vancouver
Low, USD/t","Potash Standard MOP bulk fob Vancouver
High, USD/t","Potash Standard MOP bulk fob Vancouver
Mid, USD/t","Potash Standard MOP bulk cfr southeast Asia
Low, Euro/t","Potash Standard MOP bulk cfr southeast Asia
High, Euro/t","Potash Standard MOP bulk cfr southeast Asia
Mid, Euro/t"
19-May-16,220,230,225,250,260,255,197,242,219.5,230,265,247.5
26-May-16,220,230,225,245,255,250,197,242,219.5,230,265,247.5
2-Jun-16,220,225,222.5,245,255,250,197,242,219.5,230,265,247.5
9-Jun-16,215,225,220,245,255,250,190,241,215.5,225,265,245
16-Jun-16,210,225,217.5,245,255,250,184,243,213.5,220,265,242.5
23-Jun-16,210,225,217.5,240,250,245,184,243,213.5,220,265,242.5
30-Jun-16,210,225,217.5,240,250,245,184,243,213.5,220,265,242.5
7-Jul-16,210,225,217.5,235,245,240,184,243,213.5,220,265,242.5
14-Jul-16,215,225,220,230,245,237.5,184,243,213.5,220,265,242.5
21-Jul-16,225,230,227.5,230,245,237.5,191,243,217,220,265,242.5
28-Jul-16,225,235,230,230,245,237.5,191,243,217,220,265,242.5
4-Aug-16,230,240,235,230,245,237.5,191,243,217,220,265,242.5
11-Aug-16,230,240,235,230,245,237.5,191,243,217,220,265,242.5
18-Aug-16,230,240,235,230,245,237.5,191,243,217,220,265,242.5
25-Aug-16,230,240,235,230,245,237.5,191,243,217,220,265,242.5
1-Sep-16,230,235,232.5,230,240,235,191,243,217,220,265,242.5
8-Sep-16,230,235,232.5,230,240,235,197,229,213,230,260,245
15-Sep-16,230,235,232.5,230,240,235,197,229,213,230,260,245
22-Sep-16,235,240,237.5,230,240,235,197,229,213,230,260,245
29-Sep-16,235,240,237.5,230,240,235,197,229,213,230,260,245
6-Oct-16,230,240,235,230,240,235,195,229,212,230,260,245
13-Oct-16,235,240,237.5,230,240,235,200,232,216,235,260,247.5
20-Oct-16,232,240,236,230,240,235,199,232,215.5,235,260,247.5
27-Oct-16,230,240,235,230,240,235,197,232,214.5,235,260,247.5
3-Nov-16,230,240,235,230,245,237.5,197,232,214.5,235,260,247.5
10-Nov-16,230,240,235,230,245,237.5,197,232,214.5,230,260,245
17-Nov-16,230,240,235,230,245,237.5,197,232,214.5,230,260,245
24-Nov-16,230,240,235,230,245,237.5,197,232,214.5,230,260,245
1-Dec-16,230,240,235,230,245,237.5,197,232,214.5,230,260,245
8-Dec-16,230,240,235,230,245,237.5,197,232,214.5,230,260,245
15-Dec-16,235,240,237.5,230,245,237.5,197,232,214.5,230,260,245
22-Dec-16,235,240,237.5,230,245,237.5,197,232,214.5,230,260,245
5-Jan-17,235,240,237.5,230,245,237.5,197,232,214.5,230,260,245
12-Jan-17,235,245,240,235,250,242.5,196,232,214,230,260,245
19-Jan-17,235,245,240,235,250,242.5,196,232,214,230,260,245
26-Jan-17,235,245,240,235,250,242.5,196,232,214,230,260,245
2-Feb-17,240,245,242.5,235,250,242.5,196,232,214,232,260,246
9-Feb-17,240,245,242.5,235,250,242.5,196,232,214,232,260,246
16-Feb-17,240,245,242.5,235,250,242.5,196,232,214,232,260,246
23-Feb-17,245,250,247.5,235,255,245,200,228,214,232,260,246
2-Mar-17,245,250,247.5,240,255,247.5,200,228,214,232,260,246
9-Mar-17,250,255,252.5,245,255,250,201,226,213.5,235,260,247.5
16-Mar-17,250,255,252.5,245,255,250,201,226,213.5,235,260,247.5
23-Mar-17,250,255,252.5,245,255,250,202,227,214.5,235,260,247.5
30-Mar-17,250,260,255,245,255,250,201,226,213.5,235,260,247.5
6-Apr-17,250,260,255,245,255,250,202,227,214.5,235,260,247.5
13-Apr-17,255,260,257.5,245,255,250,200,225,212.5,235,260,247.5
20-Apr-17,253,260,256.5,250,260,255,203,225,214,238,260,249
27-Apr-17,255,265,260,255,260,257.5,203,226,214.5,238,260,249
4-May-17,255,265,260,255,260,257.5,204,226,215,238,260,249
11-May-17,255,265,260,255,260,257.5,205,230,217.5,238,260,249
18-May-17,255,265,260,255,260,257.5,205,230,217.5,238,260,249
25-May-17,260,270,265,255,260,257.5,207,235,221,238,260,249
1-Jun-17,260,270,265,255,260,257.5,206,234,220,238,260,249
8-Jun-17,260,270,265,255,260,257.5,209,235,222,240,260,250
15-Jun-17,260,270,265,255,260,257.5,210,235,222.5,240,260,250
22-Jun-17,260,270,265,255,260,257.5,210,234,222,240,260,250
29-Jun-17,260,270,265,255,260,257.5,210,234,222,240,260,250
6-Jul-17,260,270,265,255,260,257.5,210,237,223.5,240,260,250
13-Jul-17,260,270,265,255,260,257.5,209,237,223,240,260,250
20-Jul-17,260,270,265,255,260,257.5,208,235,221.5,240,260,250
27-Jul-17,260,270,265,250,260,255,212,235,223.5,244,255,249.5
3-Aug-17,260,267,263.5,250,260,255,211,234,222.5,244,255,249.5
10-Aug-17,260,267,263.5,250,260,255,211,235,223,244,255,249.5
17-Aug-17,260,267,263.5,250,260,255,211,234,222.5,244,255,249.5
24-Aug-17,260,267,263.5,250,260,255,210,234,222,244,260,252
31-Aug-17,260,270,265,250,260,255,217,237,227,250,260,255
7-Sep-17,260,270,265,250,260,255,215,234,224.5,250,260,255
14-Sep-17,260,270,265,250,260,255,213,231,222,250,260,255
21-Sep-17,270,285,277.5,250,260,255,212,245,228.5,250,260,255
28-Sep-17,270,285,277.5,250,260,255,211,245,228,250,260,255
5-Oct-17,270,285,277.5,253,260,256.5,211,246,228.5,250,265,257.5
12-Oct-17,280,285,282.5,255,265,260,210,245,227.5,250,265,257.5
19-Oct-17,280,285,282.5,255,265,260,210,245,227.5,250,265,257.5
26-Oct-17,280,285,282.5,260,265,262.5,209,242,225.5,250,265,257.5
2-Nov-17,280,285,282.5,260,265,262.5,209,240,224.5,250,265,257.5
9-Nov-17,280,285,282.5,260,265,262.5,209,240,224.5,250,265,257.5
16-Nov-17,280,285,282.5,260,265,262.5,214,237,225.5,255,265,260
23-Nov-17,280,285,282.5,260,265,262.5,216,237,226.5,255,265,260
30-Nov-17,280,285,282.5,260,265,262.5,216,237,226.5,255,265,260
7-Dec-17,280,285,282.5,260,265,262.5,216,237,226.5,255,265,260
14-Dec-17,280,285,282.5,260,265,262.5,217,237,227,255,265,260
21-Dec-17,280,285,282.5,260,265,262.5,218,238,228,255,265,260
4-Jan-18,290,295,292.5,262,270,266,217,248,232.5,255,265,260
11-Jan-18,290,295,292.5,262,270,266,211,250,230.5,250,265,257.5
18-Jan-18,290,295,292.5,262,270,266,212,250,231,250,265,257.5
25-Jan-18,290,295,292.5,260,265,262.5,212,247,229.5,250,265,257.5
1-Feb-18,290,295,292.5,260,265,262.5,213,247,230,250,270,260
8-Feb-18,290,295,292.5,260,270,265,213,247,230,250,270,260
15-Feb-18,290,295,292.5,265,270,267.5,215,250,232.5,250,270,260
22-Feb-18,290,295,292.5,265,270,267.5,213,250,231.5,250,270,260
1-Mar-18,292,300,296,270,275,272.5,216,254,235,255,280,267.5
8-Mar-18,295,300,297.5,270,275,272.5,215,254,234.5,255,280,267.5
15-Mar-18,295,305,300,270,275,272.5,224,259,241.5,265,280,272.5
22-Mar-18,300,305,302.5,270,275,272.5,228,259,243.5,270,280,275
29-Mar-18,300,305,302.5,270,275,272.5,228,259,243.5,270,280,275
5-Apr-18,300,305,302.5,270,275,272.5,233,260,246.5,275,285,280
12-Apr-18,300,305,302.5,265,270,267.5,233,260,246.5,275,285,280
19-Apr-18,300,305,302.5,265,270,267.5,238,259,248.5,280,290,285
26-Apr-18,300,305,302.5,265,270,267.5,239,259,249,280,290,285
3-May-18,305,315,310,265,270,267.5,239,269,254,280,295,287.5
10-May-18,305,315,310,265,270,267.5,238,268,253,280,295,287.5
17-May-18,305,315,310,265,270,267.5,238,268,253,280,295,287.5
24-May-18,305,315,310,265,270,267.5,238,268,253,280,298,289
31-May-18,310,315,312.5,265,270,267.5,236,267,251.5,280,298,289
7-Jun-18,310,315,312.5,257,265,261,236,269,252.5,280,298,289
14-Jun-18,315,320,317.5,257,265,261,233,273,253,277,298,287.5
21-Jun-18,315,325,320,257,265,261,233,278,255.5,277,298,287.5
28-Jun-18,315,325,320,257,265,261,236,273,254.5,280,300,290
5-Jul-18,320,325,322.5,257,265,261,236,277,256.5,280,300,290
12-Jul-18,320,330,325,257,270,263.5,237,282,259.5,280,300,290
19-Jul-18,325,330,327.5,257,270,263.5,237,282,259.5,280,300,290
26-Jul-18,325,330,327.5,257,270,263.5,237,284,260.5,280,300,290
2-Aug-18,325,330,327.5,257,270,263.5,237,284,260.5,280,305,292.5
9-Aug-18,325,335,330,260,270,265,238,284,261,280,305,292.5
16-Aug-18,330,335,332.5,260,270,265,233,288,260.5,275,305,290
23-Aug-18,335,340,337.5,265,270,267.5,233,291,262,275,305,290
30-Aug-18,335,345,340,265,275,270,232,294,263,275,305,290
6-Sep-18,335,345,340,265,280,272.5,232,294,263,275,305,290
13-Sep-18,335,345,340,270,280,275,247,294,270.5,290,305,297.5
20-Sep-18,340,345,342.5,275,280,277.5,247,294,270.5,290,305,297.5
27-Sep-18,340,345,342.5,275,282,278.5,246,294,270,290,305,297.5
4-Oct-18,350,360,355,275,285,280,251,308,279.5,295,310,302.5
11-Oct-18,350,360,355,275,285,280,249,303,276,295,310,302.5
18-Oct-18,345,360,352.5,280,290,285,249,303,276,295,310,302.5
25-Oct-18,345,360,352.5,280,290,285,254,303,278.5,300,315,307.5
1-Nov-18,350,360,355,280,290,285,254,306,280,300,320,310
8-Nov-18,350,360,355,280,290,285,254,306,280,300,320,310
15-Nov-18,350,360,355,280,290,285,254,306,280,300,320,310
22-Nov-18,350,360,355,280,290,285,257,309,283,300,320,310
29-Nov-18,350,360,355,280,290,285,259,310,284.5,300,320,310
6-Dec-18,350,355,352.5,280,290,285,260,306,283,300,320,310
13-Dec-18,350,355,352.5,280,290,285,260,305,282.5,300,320,310
20-Dec-18,350,355,352.5,280,290,285,260,305,282.5,300,320,310
3-Jan-19,350,355,352.5,280,290,285,260,305,282.5,300,320,310
10-Jan-19,350,355,352.5,280,290,285,263,308,285.5,300,320,310
17-Jan-19,350,360,355,280,290,285,264,313,288.5,300,320,310
24-Jan-19,350,360,355,280,290,285,263,315,289,298,315,306.5
31-Jan-19,350,355,352.5,285,290,287.5,264,310,287,298,315,306.5
7-Feb-19,350,355,352.5,285,290,287.5,266,309,287.5,298,315,306.5
14-Feb-19,350,355,352.5,290,305,297.5,266,309,287.5,298,315,306.5
21-Feb-19,350,355,352.5,290,305,297.5,270,307,288.5,300,315,307.5
28-Feb-19,350,355,352.5,290,305,297.5,267,307,287,300,315,307.5
7-Mar-19,345,355,350,290,305,297.5,264,307,285.5,300,315,307.5
14-Mar-19,345,355,350,290,300,295,262,303,282.5,300,315,307.5
21-Mar-19,345,355,350,290,300,295,257,303,280,295,315,305
28-Mar-19,340,350,345,282,295,288.5,257,298,277.5,295,315,305
4-Apr-19,340,350,345,285,295,290,257,299,278,295,315,305
